maize_crop_yield,VAR,WMG,SWD,REP,ND2SE,SC8,SC9,SC10,WD3WAS,WD6WAS,WD9WAS,WDW3WAS,WDW6WAS,WDW9WAS,PLTHT3,PLTH6,PLTH9,LA3,LA6,LA9,LAI3,LAI6,LAI9,50%TASSEL,50%SILK,CobL,CobD,Nokelrwcob,NoGrnRow,NoGperCob,CobWgt,1000GWgt,GY
1,4,1,1,2,39,1,27,28,24,55,98,28.82,98.57,101.59,40,115.7,149.8,126.3,233.9,405.2,0.0337,0.0624,0.108,58,63,13.9,4.1,13,26,350,2985.95,247.5,2206.35
1,4,1,1,3,40,13,19,22,40,56,63,1.68,93.59,98.46,47.2,121.3,150.1,69.1,263.8,485.3,0.0184,0.0703,0.1294,53,59,14,3.9,12,33,391,2698.38,202.5,2068.95
1,4,1,2,1,41,25,47,75,47,56,77,4.51,24.1,103.5,35.7,90.6,166.8,48.4,235.6,440.4,0.0129,0.0628,0.1174,54,63,14,3.5,13,27,347,2533.33,177,1813.33
1,4,1,2,2,42,14,22,41,50,129,143,16.4,48.95,143.2,42.7,119.8,198.6,43.4,165.5,580.2,0.0116,0.0441,0.1547,54,59,14.7,3.7,13,30,383,4000,234,2975
1,4,1,2,3,48,18,28,50,53,81,99,29.13,100.5,136.7,52.4,136.4,189,77.6,386.4,525.2,0.0207,0.103,0.14,54,61,14.3,3.7,13,32,431,3600,206.5,2750
1,4,1,3,1,39,72,125,160,40,62,214,6.6,30.98,134.5,33.4,111.3,142.3,29.6,293.3,349,0.0079,0.0782,0.0931,54,61,11,3.1,12,24,295,2000,156,1666.67
1,4,1,3,2,41,111,168,183,35,56,163,4.95,28.37,169.57,49.7,166.3,187,60.9,409,422.8,0.0162,0.1091,0.1127,54,57,11.2,3.3,13,26,342,1416.67,144,830
1,4,1,3,3,38,6,6,48,16,49,109,15.9,47.03,138.92,36.4,99.4,139.1,30.8,216.6,377.4,0.0082,0.0578,0.1006,55,61,12,3.5,14,27,373,1250,139,916.67
1,4,2,1,1,56,4,17,20,40,52,105,1.8,8.81,13.29,41.7,114.3,157.4,50.8,300.7,524.5,0.0135,0.0882,0.1399,54,59,16.8,3.9,13,34,437,2655.7,239.5,1909.92
1,4,2,1,2,51,7,23,26,34,66,101,1.35,54.3,60.1,41.7,116.7,171.7,109.9,333.5,453,0.0293,0.0889,0.1208,53,59,15.8,4,13,36,451,4638.67,249.5,3574.02
1,4,2,1,3,54,27,90,93,21,49,73,2.04,49.18,78.5,54.8,152.2,190.1,97.8,573.6,629.2,0.026,0.1529,0.1678,52,56,16.2,4.1,13,40,497,4514.22,258.5,3551.68
1,4,2,2,1,48,41,82,101,45,53,80,4.81,5.1,19.5,46.2,118.7,174.2,59.1,281.4,443.3,0.0158,0.075,0.1182,54,59,17,4.1,14,38,533,4583.33,221.5,3250
1,4,2,2,2,48,25,43,77,53,57,116,8.2,18.41,40.3,54.6,112.4,174.9,77.6,235.8,426.9,0.0207,0.0629,0.1139,54,61,15.5,4.2,13,36,478,4916.67,237,3666.67
1,4,2,2,3,48,16,30,40,60,85,107,23.47,50.2,98.35,49.5,125.8,207.8,69,298.9,507.6,0.0184,0.0797,0.1354,54,61,17.3,4,15,38,561,4208.33,216.5,3083.33
1,4,2,3,1,49,2,19,22,37,46,57,15.8,64.6,29.6,49.2,111.8,179.3,50.1,357.3,554.7,0.0134,0.0953,0.1479,52,56,16,3.9,12,30,360,5833.33,225,4500
1,4,2,3,2,46,25,95,100,34,57,82,1.13,2.3,32.37,38.3,127.2,170,52.3,332,550,0.0139,0.885,0.12,52,56,18,4,13,32,416,5250,248,4083.33
1,4,2,3,3,47,23,76,122,47,54,60,3.4,8.38,26.97,39.2,110.9,167,41.4,231,456.2,0.011,0.0616,0.1217,52,56,19,4.2,14,34,476,4833.33,240,3833.33
1,4,3,1,1,56,15,28,48,27,27,65,0.38,6.86,62.14,49.5,124.2,170.3,98.7,361.9,712.3,0.0263,0.0965,0.1899,51,58,16.3,4,13,33,423,4810,225.5,3672.15
1,4,3,1,2,56,7,17,17,24,48,66,0.22,42.46,44.3,50.1,126.5,151.6,159.3,316.7,544.5,0.0425,0.0845,0.1452,54,59,16,4.1,13,33,435,4279.2,218.5,3278.18
1,4,3,1,3,54,23,51,58,8,71,121,0.41,23.6,47.5,46.5,129.7,165.2,58.3,415.4,563.3,0.0156,0.1108,0.1502,52,58,16.8,4.2,13,34,449,4795.87,249.5,3722.82
1,4,3,2,1,41,26,48,74,51,75,186,2.09,23.2,24.8,45.5,111.7,165,58.6,301,477.6,0.0156,0.0803,0.1273,54,59,15.7,4,15,32,455,3903.33,215.5,2856.67
1,4,3,2,2,48,56,95,143,48,65,136,1.94,12.74,36.5,40.2,101.3,159.4,53,255.3,430,0.0141,0.0681,0.1147,54,59,16.2,3.8,12,35,416,3333.33,215,2376.67
1,4,3,2,3,48,36,54,87,46,68,82,2.93,15.6,28.3,59.8,171,210,105.2,364.9,520,0.028,0.0973,0.1345,53,61,15.7,4.3,14,31,439,4750,232.5,3666.67
1,4,3,3,1,39,1,19,29,23,61,103,1.39,16.16,25.6,41.6,129,177.5,28.9,343.2,395.8,0.0077,0.0915,0.1055,52,57,15.5,3.7,12,36,432,4166.67,230,3166.67
1,4,3,3,2,41,81,185,192,23,67,101,0.4,4.9,19.24,36.4,102.3,159.3,38.8,212.1,486.9,0.0103,0.0566,0.1298,54,58,16.5,3.9,12,39,468,3750,213,2916.67
1,4,3,3,3,41,32,79,81,38,48,65,1.42,8.41,13.98,46.2,139,180.3,41.4,359.3,550.1,0.011,0.0958,0.1467,50,56,17.5,4.2,13,43,559,3333.33,205,2666.67
1,4,4,1,1,56,4,6,7,22,122,4,0.12,13.8,1.2,41.3,112.8,175,70.6,365.8,776.3,0.0188,0.0976,0.207,54,59,18.2,4.2,15,38,555,4371.83,214,3326.13
1,4,4,1,2,56,3,3,6,26,129,31,23.15,30.3,8.33,37.7,116.7,163.2,227.6,352.3,505.9,0.0607,0.0939,0.1349,55,59,17.1,4.3,12,36,427,6104.85,266,4711.97
1,4,4,1,3,54,2,6,10,18,103,32,0.1,27.56,9.43,44.1,115.3,162.9,51.8,323.2,478.9,0.0138,0.0862,0.1277,53,58,15.5,4.2,14,32,448,5366.65,242.5,4111.62
1,4,4,2,1,48,5,11,20,33,103,11,1.12,36.3,2.22,48.2,116.8,193.4,74,236,441.8,0.0197,0.0629,0.1178,54,59,16.8,4.2,13,38,476,5000,261,3750
1,4,4,2,2,41,10,17,22,57,74,48,2.86,14.8,5.64,40.8,115.1,175,54.7,283.6,446.5,0.0146,0.0756,0.1191,54,59,17,3.8,12,38,460,5300,293.5,3833.33
1,4,4,2,3,50,34,63,98,41,52,17,3.31,15.5,2.5,40.1,112.8,196.6,44.5,283.8,509.8,0.0119,0.0757,0.136,54,60,16,4,15,32,465,5221.67,258.5,3733.33
1,4,4,3,1,51,1,1,12,33,47,17,0.82,8.8,1.16,37.5,140.1,165,41.6,271,473.6,0.0111,0.0723,0.1263,51,56,14.8,3.6,12,31,368,4833.33,226,3666.67
1,4,4,3,2,54,1,2,3,31,114,23,0.63,23.48,2.24,37.7,101.8,175.7,42.2,225.6,475.4,0.0112,0.0602,0.1268,53,58,15.8,3.8,13,34,428,4475,211.5,3475
1,4,4,3,3,52,1,2,4,25,61,17,0.7,12.15,1.02,40.4,111.5,168.7,35.6,263.5,500.6,0.0095,0.0703,0.1335,52,56,16.5,4.1,14,35,473,4000,200,3166.67
2,1,1,1,1,40,109,133,150,33,114,140,3.8,4.3,47.2,49.67,141,174.5,53.05,274.62,449.39,0.0141,0.0732,0.1198,50,54,14.9,4.08,13,31,403,4583.33,195,3750
2,1,1,1,2,40,25,45,88,43,104,130,5.8,6.3,45.2,49.67,141,174.5,62.57,373.94,453.44,0.0167,0.0997,0.1209,52,58,14.46,4.28,14,35,490,5000,206,4083.33
2,1,1,1,3,39,23,43,85,23,124,150,1.8,2.3,49.2,49,153.33,165.5,41.52,232.65,455.83,0.0111,0.062,0.1216,48,52,14.36,3.98,13,30,390,3250,233.5,2500
2,1,1,2,1,36,165,176,189,55,126,155,4.3,80.1,100.6,48.3,129,165.3,36.31,235.39,370.65,0.0097,0.0628,0.0988,48,54,12.62,4.06,14,28,392,5833.33,232,4333.33
2,1,1,2,2,37,45,68,200,45,136,165,2.3,78.1,102.5,45.33,139.83,166,54.05,345.12,443.1,0.0144,0.092,0.1182,48,53,13.3,4.12,13,28,364,5166.67,190.5,3833.33
2,1,1,2,3,39,48,71,203,65,116,145,6.3,82.1,98.6,50.03,153.67,177.33,56.74,326.33,470.39,0.0151,0.087,0.1254,48,52,12.54,3.96,14,28,392,4666.67,239,3500
2,1,1,3,1,36,178,187,200,77,223,177,77.7,100.4,110.5,40.3,153.67,174.3,69.95,183.25,319.87,0.0187,0.0489,0.0853,47,52,11.8,3.54,13,26,338,3333.33,178,2333.33
2,1,1,3,2,37,53,78,253,87,213,167,75.7,102.4,112.3,62.53,115.33,153.83,37.96,430.79,470.61,0.0101,0.1149,0.1255,47,53,11,3.48,13,25,325,2833.33,169.4,2000
2,1,1,3,3,38,51,76,250,67,233,187,79.7,98.4,108.5,46,143.33,170,33.75,406.19,437.89,0.009,0.1083,0.1168,48,52,11.8,3.6,13,27,343,3083.33,169.3,2250
2,1,2,1,1,38,64,85,95,32,60,44,6.2,15.4,31.3,43.67,107,175.33,77.18,350.39,497.53,0.0206,0.0934,0.1327,48,53,15.36,4.34,15,34,510,5766.67,251,3750
2,1,2,1,2,57,14,15,38,22,50,54,8.2,13.4,33.5,55.93,162.67,184.33,88.67,425.91,501.82,0.0236,0.1136,0.1338,48,53,16.5,4.18,15,37,555,5666.67,261.5,4583.33
2,1,2,1,3,56,11,12,35,42,70,34,4.2,17.4,29.4,53.17,163,200,92.98,439.04,531.7,0.0248,0.1171,0.1418,50,53,16.8,4.4,14,36,504,5708.33,228,4666.67
2,1,2,2,1,49,78,113,134,47,66,64,8.4,34.7,78.8,55,167.67,209.67,28.76,437.39,452.21,0.0077,0.1166,0.1206,40,49,14.5,4.12,14,30,420,5333.33,240,4533
2,1,2,2,2,46,24,48,88,57,76,74,6.4,36.7,76.1,47.33,152.33,184,59.95,422.97,558.9,0.016,0.1128,0.149,46,51,16.7,4.32,14,36,504,8500,269,6833.33
2,1,2,2,3,48,26,50,91,37,56,54,10.4,32.7,80.4,55.17,150.33,185.33,72.74,374.63,405.51,0.0194,0.0999,0.1081,48,52,15.5,4.24,14,33,462,5833.33,242.5,4166.67
2,1,2,3,1,37,115,125,148,62,73,64,44.9,35.6,83.4,58.1,154.67,193.67,55.44,434.92,483.82,0.0148,0.116,0.129,40,44,14.2,3.94,14,29,406,3333.33,179.5,2500
2,1,2,3,2,47,42,60,100,52,63,54,46.9,33.6,85.4,51.33,158,180.67,62.49,374.06,430.16,0.0167,0.0997,0.1147,47,57,15.2,3.92,14,29,406,3750,183.2,2666.67
2,1,2,3,3,48,40,56,95,72,83,74,42.9,37.6,81.2,57,131.33,177,65.48,393.21,459.21,0.0175,0.1049,0.1225,44,50,14,3.94,14,30,427,3883.33,187.4,2833.33
2,1,3,1,1,59,36,38,50,10,48,48,0,3.5,11.3,56.67,136,181.67,113.68,521.9,549.93,0.0303,0.1392,0.1466,48,52,14.8,4.24,15,35,525,4666.67,256.5,3750
2,1,3,1,2,48,8,12,20,15,38,58,0.9,5.5,9.2,59.17,172.33,201,74.69,498.54,585.32,0.0199,0.1329,0.1561,49,51,15,4.3,14,37,518,5666.67,265.5,4583.33
2,1,3,1,3,47,5,9,17,25,58,38,0.5,1.5,13.6,49.73,169,187.67,91.66,497.96,583.27,0.0244,0.1328,0.1555,51,55,15.1,4.18,14,33,462,4750,240,3750
2,1,3,2,1,38,27,51,110,13,53,52,0.3,6,22,48.67,173.3,202,77.08,394.58,511.6,0.0206,0.1052,0.1364,40,50,15.3,4.24,14,30,420,5083.33,242.5,4250
2,1,3,2,2,38,16,28,40,23,63,42,0.6,4,23.4,57.13,177.83,192.33,64.08,432.85,585.86,0.0171,0.1154,0.1562,46,53,16.1,4.48,15,34,510,8833.33,247.5,6833.33
2,1,3,2,3,40,20,32,43,18,43,62,1,8,19.7,50.33,173.17,217,84.47,472.33,532.73,0.0225,0.126,0.1421,44,47,15.9,4.48,15,33,495,5833.33,222.5,4166.67
2,1,3,3,1,38,44,83,127,44,74,65,3.2,77.1,29.6,55.8,184.67,198.67,61.07,448.16,490.81,0.0163,0.1195,0.1309,40,46,14.1,3.94,14,33,462,5500,221,4000
2,1,3,3,2,48,28,42,65,34,64,75,1.2,75.1,31.2,56,158,195.7,73.99,535.05,564.37,0.0197,0.1427,0.1505,44,49,14.6,3.94,14,33,462,5583.33,193.2,3833.33
2,1,3,3,3,49,25,40,61,54,84,55,5.2,79.1,27.9,56.33,150.67,185.67,61.9,490.2,575.85,0.0165,0.1307,0.1536,42,47,14,4.06,14,34,476,6000,200.9,4333.33
2,1,4,1,1,59,1,2,2,5,34,4,0.1,4.7,8.4,48.3,172.7,186.3,69.73,313.9,470.68,0.0186,0.0837,0.1255,49,54,16.3,4.2,13,37,481,5166.67,210,4166.67
2,1,4,1,2,41,2,2,2,10,44,14,0.6,6.7,6.9,45.7,138,189.2,113.46,425.35,493.88,0.0303,0.1134,0.1317,48,51,15.88,4.32,14,36,504,6666.67,260,5583.33
2,1,4,1,3,40,2,2,2,18,24,8,0.9,2.7,10.5,60,174.67,201.33,73.01,486.04,547.47,0.0195,0.1296,0.146,50,54,16.2,4.32,14,36,504,5666.67,253,4583.33
2,1,4,2,1,38,15,18,30,19,47,34,0.9,6.9,10.5,44.87,178.3,205.7,65.92,398.25,567.27,0.0176,0.1062,0.1513,40,48,15.34,4.24,15,33,495,4333.33,288,3416.67
2,1,4,2,2,45,1,2,6,29,57,44,1.1,4.9,12.7,48.8,164,182.3,54.85,385.1,541.25,0.0146,0.1027,0.1443,46,51,15.56,4.42,14,32,448,8166.67,249.5,6166.67
2,1,4,2,3,47,2,3,6,9,37,24,0.7,8.9,8.2,46.97,168.67,219,71.82,415.34,541.58,0.0192,0.1108,0.1444,44,49,16.1,4.22,14,34,476,5416.67,270,4166.67
2,1,4,3,1,44,0,15,43,52,63,61,10.3,18.7,27.4,50.2,182,197.7,75.76,503.06,614.47,0.0202,0.1342,0.1639,36,45,13.9,3.92,14,30,420,4200,183,3333.33
2,1,4,3,2,36,10,13,17,42,53,71,8.3,20.7,25.1,60,150,184.3,78.51,462.34,556.96,0.0209,0.1233,0.1485,43,59,15,4.1,14,34,476,5866.67,195.1,3866.67
2,1,4,3,3,37,8,10,15,62,73,51,12.3,16.7,29.8,58,134.33,180,72.92,454.95,547.35,0.0194,0.1213,0.146,39,52,15,4.04,15,32,480,6416.67,210,4666.67
2,2,1,1,1,40,135,148,162,69,58,143,3,52.5,98.6,57.7,133,179,70.06,279.67,483.11,0.0187,0.0746,0.1288,55,61,15,4.28,15,34,510,5558.33,200,4750
2,2,1,1,2,40,65,118,138,79,68,133,1,50.5,100.2,49.8,158.6,171.4,58.46,287.32,502.05,0.0156,0.0766,0.1339,56,60,16.8,4.06,14,37,518,6166.67,231.5,5083.33
2,2,1,1,3,39,63,115,135,59,48,153,5,54.5,96.4,47.33,143.83,200.47,47.21,246.35,487.01,0.0126,0.0657,0.1299,53,57,13.76,3.76,14,31,434,3400,200,2333.33
2,2,1,2,1,37,183,193,200,78,120,159,12.6,64.9,108.1,42,136.87,190.67,39.03,287.41,419.7,0.0104,0.0766,0.1119,50,56,16.26,4.18,12,32,384,6666.67,249.5,4666.67
2,2,1,2,2,37,73,150,208,68,110,169,14.6,66.9,110.7,50.1,165.4,199.7,44.44,328.98,611.73,0.0119,0.0877,0.1631,54,58,14.2,4.16,12,32,384,6416.67,187.5,5666.67
2,2,1,2,3,39,75,153,210,88,130,149,10.6,62.9,106.4,52.73,161,216.67,37.93,360.37,586.72,0.0101,0.0961,0.1565,53,57,16.36,4.1,14,31,434,5833.33,215,4000
2,2,1,3,1,36,194,215,228,78,126,180,35,112.3,118.6,52.2,162,194.3,64.84,289.54,467.6,0.0173,0.0772,0.1247,51,60,14,3.96,14,31,434,4166.67,225,3000
2,2,1,3,2,36,85,163,268,88,116,170,33,110.3,116.3,58.7,139,172.5,50.11,445.56,489.38,0.0134,0.1188,0.1305,50,59,14,3.9,14,32,448,3966.67,218.3,2883.33
2,2,1,3,3,37,83,160,264,68,136,190,37,114.3,120.6,52,135.33,172,42.14,414.59,472.9,0.0112,0.1106,0.1261,51,59,14,4,14,31,418,4633.33,236,3333.33
2,2,2,1,1,45,42,69,80,37,54,43,2,2.1,22.2,45.7,133,171,67.83,473.05,612.4,0.0181,0.1261,0.1633,54,59,15.2,4.14,15,37,555,6000,246,4666.67
2,2,2,1,2,45,55,108,123,47,64,33,4,4.1,20.8,51.1,158.7,202.93,86.53,452.62,590.08,0.0231,0.1207,0.1574,53,58,17.06,4.26,13,39,507,6000,251,4666.67
2,2,2,1,3,44,52,105,120,27,44,53,0,0.1,24.6,53.17,153.33,218,78.08,466.74,713.37,0.0208,0.1245,0.1902,53,57,16.9,4.6,15,38,570,6118.33,237,4951.67
2,2,2,2,1,38,119,125,143,67,81,53,16.5,18.9,35.8,48.3,159.6,229.7,30.66,329.25,531.27,0.0082,0.0878,0.1417,51,55,16.8,4.38,14,33,462,8666.67,285.5,6166.67
2,2,2,2,2,42,95,128,184,77,71,63,14.5,16.9,33.1,49.4,149.8,194,59.69,321.84,558.16,0.0159,0.0858,0.1488,48,55,16.8,4.26,14,36,504,8500,246.5,6666.67
2,2,2,2,3,44,97,131,183,57,91,33,18.5,20.9,37.4,59.67,141.33,205.67,85.36,283.81,652.76,0.0228,0.0757,0.1741,49,55,18.6,4.36,13,37,481,10166.67,270,7000
2,2,2,3,1,36,134,156,175,57,104,64,22.3,33.6,69.8,63.7,146.7,198.3,67.2,372.96,631.04,0.0179,0.0995,0.1683,47,52,15.2,4.06,14,34,476,4666.67,195.5,3333.33
2,2,2,3,2,37,99,135,200,47,114,54,24.3,35.6,71,53.7,134,189.3,77.1,405.91,584.85,0.0206,0.1082,0.156,56,63,15.4,4.1,14,31,434,4916.67,213.6,3666.67
2,2,2,3,3,38,96,130,194,67,94,74,20.3,31.6,67.6,60,126.33,182,74.11,430.58,620.53,0.0198,0.1148,0.1655,52,57,16,4.28,15,32,478,5000,206.8,3833.33
2,2,3,1,1,46,104,136,143,14,48,46,0.2,5.1,4.5,57.7,126.7,184.3,102.21,476.83,607.55,0.0273,0.1272,0.162,52,57,16.2,4.3,15,39,585,6816.67,213.5,5750
2,2,3,1,2,48,50,102,109,24,38,56,2.2,3.1,4.3,65.7,207.3,244.1,110.02,556.98,726.26,0.0293,0.1485,0.1937,52,55,16.8,4.46,14,40,560,7583.33,240.5,6333.33
2,2,3,1,3,47,47,99,105,4,58,36,1.2,7.1,6.9,51.83,168.33,243,94.7,679.19,733.2,0.0253,0.1811,0.1955,54,59,18.7,4.26,14,40,560,5416.67,229.5,4416.67
2,2,3,2,1,38,70,105,176,34,76,65,0.9,10.3,42.9,49.3,175.3,230,77.16,458.24,588.25,0.0206,0.1222,0.1569,50,54,16.3,4.26,14,35,490,6966.67,279,5833.33
2,2,3,2,2,43,47,58,147,24,86,75,2.9,12.3,40.7,30,183.6,186.3,88.88,541.88,699.93,0.0237,0.1445,0.1866,48,56,19.8,4.46,14,36,504,8916.67,297.5,7000
2,2,3,2,3,45,49,52,61,44,66,55,1.9,8.3,38.6,61.57,182.33,252.67,112.25,537.38,659.23,0.0299,0.1433,0.1758,49,53,17,4.18,14,39,546,6000,238.5,4000
2,2,3,3,1,40,82,120,189,46,94,86,3.9,41.2,48.4,65.1,183,239,58.14,541.3,668.99,0.0155,0.1443,0.1784,50,55,16.66,4.12,14,37,518,6250,189,5333.33
2,2,3,3,2,45,145,150,160,56,104,76,1.9,43.2,46.2,59,188.3,227,83.1,619.67,698.59,0.0222,0.1652,0.1863,46,53,16,4.14,14,35,490,6833.33,198.9,4833.33
2,2,3,3,3,46,140,147,155,36,84,96,5.9,39.2,50,67.67,177,237,91.84,582.17,661.52,0.0245,0.1552,0.1764,48,54,16.4,4.3,14,34,476,6250,215.6,4416.67
2,2,4,1,1,45,16,32,34,16,36,6,0.6,5.5,6.9,59.3,189,224.3,99.72,458.91,581.11,0.0266,0.1224,0.155,52,56,16.96,4.38,14,40,560,7916.67,220.5,6583.33
2,2,4,1,2,42,3,3,3,6,46,10,1.6,3.5,8.2,55.1,154.8,207,91.12,517.88,637.82,0.0243,0.1381,0.1701,52,58,17.7,4.06,16,38,608,6666.67,265,5583.33
2,2,4,1,3,41,3,3,3,26,26,16,2.6,7.5,5,52.17,168,239.67,112.94,571.4,599.69,0.0301,0.1524,0.1599,54,58,17.1,4.32,15,35,525,7166.67,238.5,6000
2,2,4,2,1,45,14,15,35,29,37,6,2.5,10.9,10.4,52.7,173,242.3,51.79,288.68,574.64,0.0138,0.077,0.1532,50,54,17.92,4.28,14,36,504,7916.67,200,6166.67
2,2,4,2,2,38,10,16,20,39,27,16,4.5,12.9,12,51.5,162.7,212.3,103.19,482.49,710.64,0.0275,0.1287,0.1895,48,55,19.2,4.7,14,38,532,8633.33,270,6466.67
2,2,4,2,3,40,8,17,22,19,47,10,0.5,8.9,8.4,66.07,176.33,237.67,128.24,536.51,798.68,0.0342,0.1431,0.213,47,51,20.5,4.46,14,44,616,8416.67,285,6250
2,2,4,3,1,43,0,20,48,34,56,15,2.5,19.2,20.6,70.3,211.3,232.7,74.72,446.77,630.63,0.0199,0.1191,0.1682,45,52,16.8,4.28,15,35,525,6166.67,244.5,4583.33
2,2,4,3,2,46,13,20,28,24,46,25,0.5,17.2,18.6,30.7,168,219.7,78.43,549.53,684.18,0.0209,0.1465,0.1824,47,52,16.6,4.12,14,36,504,6516.67,231,4466.67
2,2,4,3,3,47,10,16,25,44,66,5,4.5,21.2,22.4,64,179.67,233,85.42,428.77,585.66,0.0228,0.1143,0.1562,46,52,17,4.08,14,35,490,6916.67,260.1,4833.33
2,3,1,1,1,40,143,156,164,19,82,133,2.4,59.8,93.6,60,173.7,218.3,71.14,249.96,407.13,0.019,0.0667,0.1086,50,54,15.8,3.86,14,37,518,5166.67,145,4000
